jurisdiction_id,jurisdiction_desc,tax_percentage
ALLOTHER,Non Reporting Jurisdictions,0
CALIF,CA California State Tax,0.0775
CN.ALBERTA,CN.Alberta,0.05
CN.BRITISH,CN.British Columbia,0.12
CN.LABRADO,CN.Labrador,0.13
CN.MANITOB,CN.Manitoba,0.13
CN.NEWBRUN,CN.New Brunswick,0.13
CN.NEWFOUN,CN.Newfoundland,0.13
CN.NOVASCO,CN.Nova Scotia,0.15
CN.NUNAVUT,CN.Nunavut,0.05
CN.NWTERRI,CN.NW Territories,0.05
CN.ONTARIO,CN.Ontario,0.13
CN.PRINCEE,CN.Prince Edward Island,0.14
CN.QUEBEC,CN.Quebec,0.14975
CN.SASKATC,CN.Saskatchewan,0.1
CN.YUKON,CN.Yukon,0.05
FL.ALACHUA,FL Alachaua County Tax,0.07
FL.BAKER,FL Baker County,0.07
FL.BAY,FL Bay County,0.07
FL.BOCARAT,FL.Boca Raton,0.07
FL.BOYNTON,FL.Boynton Beach,0.06
FL.BRADFRD,FL Bradford County,0.07
FL.BREVARD,FL Brevard County,0.07
FL.BROWARD,FL Broward County,0.07
FL.CALHOUN,FL Calhoun County,0.075
FL.CAPECOR,FL.Cape Coral,0.06
FL.CHARLOT,FL Charlotte County,0.07
FL.CITRUS,FL Citrus County,0.06
FL.CLAY,FL Clay County Tax,0.075
FL.COLLIER,FL Collier County,0.07
FL.COLUMBI,FL Columbia County,0.07
FL.DELRAY,FL.Delray Beach,0.06
FL.DESOTO,FL DeSoto County,0.075
FL.DIXIE,FL Dixie County,0.07
FL.DUVAL,FL Duval County,0.075
FL.ESCAMBI,FL Escambi County,0.075
FL.EXEMPT,FLA Tax Exempt,0
FL.FLAGLER,FL Flagler County,0.07
FL.FRANKLI,FL Franklin County,0.07
FL.FTLAUDE,FL.FtLauderdale,0.06
FL.GADSDEN,FL Gadsden County,0.075
FL.GAINESV,FL.Gainesville,0.06
FL.GILCHRS,FL Gilchrist County,0.07
FL.GLADES,FL Glades County,0.07
FL.GULF,FL Gulf County,0.07
FL.HAMILTO,FL Hamilton County,0.07
FL.HARDEE,FL Hardee County,0.07
FL.HENDRY,FL Hendry County,0.07
FL.HERNAND,FL Hernando County,0.065
FL.HIGHLAN,FL Highlands County,0.075
FL.HILL,FL Hill County Tax,0.01
FL.HILLS,FL Hillsborough County,0.075
FL.HILLSBO,FL Hilldborough County,0.075
FL.HOLLYWO,FL.Hollywood,0.06
FL.HOLMES,FL Holmes County,0.075
FL.INDIAN,FL Indian River Cty,0.07
FL.JACKSON,FL Jackson County,0.075
FL.JEFFERS,FL Jefferson County,0.07
FL.JUPITER,FL.Jupiter,0.06
FL.LAFAYET,FL Layfayette County,0.07
FL.LAKE,FL Lake County,0.07
FL.LAKEWOR,FL.Lake Worth,0.06
FL.LEE,FL Lee County,0.065
FL.LEHIGHA,FL.Lehigh Acres,0.06
FL.LEON,FL Leon County,0.075
FL.LEVY,FL Levy County,0.07
FL.LIBERTY,FL Liberty County,0.075
FL.MADISON,FL Madison County,0.075
FL.MANATEE,FL Manatee County,0.07
FL.MARION,FL Marion County,0.07
FL.MARTIN,FL Martin County,0.065
FL.MELBOUR,FL.Melbourne,0.06
FL.MIA-DAD,FL Miami-Dade County Tax,0.07
FL.MONROE,FL Monroe Country,0.075
FL.NAPLES,FL.Naples,0.06
FL.NASSAU,FL Nassau County,0.07
FL.OCALA,FL.Ocala,0.06
FL.OKALOOS,FL Okaloosa County,0.07
FL.OKEECHO,FL Okeechobee County,0.07
FL.ORANGE,FL Orange County,0.07
FL.OSCEOLA,FL Oseceola County,0.075
FL.PALBEA,FL.PALM BEACH COUNTY,0.07
FL.PALMBAY,FL.Palm Beach County,0.07
FL.PALMBEA,FL Palm Beach Gardens,0.06
FL.PASCO,FL Pasco County,0.07
FL.PINELLA,FL Pinellas County,0.07
FL.POLK,FL Polk County,0.07
FL.PUTNAM,FL Putnam County,0.07
FL.SAINTJO,FL Saint John County,0.065
FL.SAINTLU,FL Saint Lucie County,0.07
FL.SANFORD,FL.Sanford,0.06
FL.SANTARO,FL Santa Rosa County,0.075
FL.SARASOT,FL Sarasota County,0.07
FL.SEMINOL,FL Seminole County,0.07
FL.STATE,FL State Tax,0.06
FL.STAUGUS,FL.StAugustine,0.06
FL.SUMTER,FL Sumter County,0.07
FL.SUWANNE,FL Suwannee County,0.07
FL.TAYLOR,FL Taylor County,0.07
FL.UNION,FL Union County,0.07
FL.VOLUSIA,FL Volusia County,0.065
FL.WAKULLA,FL Wakulla County,0.07
FL.WALTON,FL Walton County,0.07
FL.WASHING,FL Washington County,0.075
